Planet Name,Num Stars
Kepler-104 c,2
OGLE-2008-BLG-092L b,2
Kepler-104 b,2
HD 89744 b,2
Kepler-25 d,2
Kepler-25 c,2
Kepler-130 b,2
KELT-18 b,2
HD 28254 b,2
ome Ser b,2
WASP-54 b,2
Kepler-560 b,2
55 Cnc b,2
Kepler-1661 b,2
GJ 414 A c,2
GJ 414 A b,2
WASP-145 A b,2
Kepler-1480 b,2
55 Cnc c,2
55 Cnc d,2
Kepler-167 d,2
55 Cnc e,2
55 Cnc f,2
K2-288 B b,2
WASP-85 A b,2
Kepler-453 b,2
WASP-36 b,2
42 Dra b,2
K2-22 b,2
WASP-140 b,2
EPIC 246851721 b,2
GJ 15 A c,2
KELT-16 b,2
Kepler-636 b,2
WASP-33 b,2
WASP-139 b,2
WASP-98 b,2
WASP-18 b,2
2MASS J19383260+4603591 b,2
WASP-180 A b,2
Kepler-167 e,2
omi UMa b,2
WASP-18 c,2
WASP-49 b,2
Kepler-454 b,2
Kepler-454 c,2
K2-29 b,2
K2-266 e,2
Kepler-517 b,2
GJ 3021 b,2
Kepler-47 b,2
Kepler-519 b,2
WASP-94 A b,2
WASP-94 B b,2
K2-266 d,2
Kepler-47 c,2
K2-266 c,2
K2-266 b,2
bet Cnc b,2
alf Tau b,2
K2-265 b,2
WASP-168 b,2
Kepler-530 b,2
WASP-160 B b,2
WASP-87 b,2
Kepler-47 d,2
GJ 229 A c,2
gam Cep b,2
GJ 3473 c,2
GJ 229 b,2
75 Cet b,2
Kepler-167 c,2
WASP-173 A b,2
CoRoT-2 b,2
WASP-45 b,2
GJ 3473 b,2
Kepler-514 b,2
gam 1 Leo b,2
GJ 338 B b,2
Kepler-515 b,2
Kepler-477 b,2
GJ 15 A b,2
WASP-55 b,2
VHS J125601.92-125723.9 b,2
WASP-75 b,2
WASP-76 b,2
Kepler-432 c,2
Gl 49 b,2
WASP-26 b,2
CoRoT-9 b,2
DE CVn b,2
WASP-1 b,2
Kepler-1647 b,2
WASP-68 b,2
Kepler-504 b,2
WASP-77 A b,2
K2-32 b,2
K2-32 c,2
Kepler-538 b,2
WASP-56 b,2
HAT-P-1 b,2
Kepler-432 b,2
WASP-70 A b,2
UZ For c,2
HAT-P-24 b,2
KELT-15 b,2
HAT-P-22 b,2
TrES-1 b,2
TrES-2 b,2
TrES-4 b,2
ups And d,2
ups And c,2
WASP-20 b,2
Kepler-1540 b,2
ups And b,2
HAT-P-14 b,2
18 Del b,2
WASP-2 b,2
UZ For b,2
K2-32 d,2
WASP-100 b,2
WASP-104 b,2
WASP-123 b,2
Kepler-16 b,2
WASP-129 b,2
WASP-127 b,2
GJ 676 A b,2
WASP-58 b,2
Kepler-1651 b,2
GJ 676 A c,2
GJ 676 A d,2
GJ 676 A e,2
K2-32 e,2
K2-31 b,2
2MASS J01033563-5515561 AB b,2
WASP-8 b,2
tau Boo b,2
WASP-8 c,2
Kepler-167 b,2
XO-2 S b,2
XO-2 S c,2
GJ 86 b,2
WASP-64 b,2
XO-2 N b,2
DMPP-3 A b,2
DP Leo b,2
WASP-114 b,2
GJ 720 A b,2
DS Tuc A b,2
Kepler-350 c,1
Kepler-347 b,1
Kepler-348 b,1
Kepler-349 c,1
Kepler-521 b,1
Kepler-52 d,1
Kepler-350 b,1
Kepler-348 c,1
Kepler-349 b,1
Kepler-520 c,1
Kepler-52 c,1
Kepler-347 c,1
Kepler-520 b,1
Kepler-427 b,1
Kepler-52 b,1
Kepler-358 c,1
Kepler-359 c,1
Kepler-359 d,1
Kepler-510 b,1
Kepler-51 d,1
Kepler-36 b,1
Kepler-36 c,1
Kepler-51 c,1
Kepler-360 b,1
Kepler-360 c,1
Kepler-361 b,1
Kepler-361 c,1
Kepler-51 b,1
Kepler-362 b,1
Kepler-362 c,1
Kepler-363 b,1
Kepler-363 c,1
Kepler-363 d,1
Kepler-364 b,1
Kepler-364 c,1
Kepler-359 b,1
Kepler-358 b,1
Kepler-350 d,1
Kepler-357 d,1
Kepler-518 b,1
Kepler-516 b,1
Kepler-351 b,1
Kepler-351 c,1
Kepler-351 d,1
Kepler-352 b,1
Kepler-352 c,1
Kepler-513 b,1
Kepler-354 b,1
Kepler-354 c,1
Kepler-354 d,1
Kepler-355 b,1
Kepler-512 b,1
Kepler-355 c,1
Kepler-356 b,1
Kepler-356 c,1
Kepler-357 b,1
Kepler-511 b,1
Kepler-357 c,1
Kepler-522 b,1
Kepler-529 c,1
Kepler-346 c,1
Kepler-328 b,1
Kepler-536 b,1
Kepler-324 c,1
Kepler-325 b,1
Kepler-325 c,1
Kepler-325 d,1
Kepler-326 b,1
Kepler-326 c,1
Kepler-326 d,1
Kepler-327 b,1
Kepler-327 c,1
Kepler-327 d,1
Kepler-328 c,1
Kepler-346 b,1
Kepler-329 b,1
Kepler-329 c,1
Kepler-33 b,1
Kepler-33 c,1
Kepler-33 d,1
Kepler-33 e,1
Kepler-535 b,1
Kepler-33 f,1
Kepler-330 b,1
Kepler-330 c,1
Kepler-331 b,1
Kepler-537 b,1
Kepler-324 b,1
Kepler-323 c,1
Kepler-323 b,1
Kepler-316 b,1
Kepler-316 c,1
Kepler-317 b,1
Kepler-317 c,1
Kepler-318 b,1
Kepler-54 b,1
Kepler-318 c,1
Kepler-319 b,1
Kepler-539 c,1
Kepler-319 c,1
Kepler-319 d,1
Kepler-32 b,1
Kepler-539 b,1
Kepler-32 c,1
Kepler-32 d,1
Kepler-32 e,1
Kepler-32 f,1
Kepler-320 b,1
Kepler-320 c,1
Kepler-321 b,1
Kepler-321 c,1
Kepler-322 b,1
Kepler-322 c,1
Kepler-331 c,1
Kepler-331 d,1
Kepler-332 b,1
Kepler-509 b,1
Kepler-340 b,1
Kepler-340 c,1
Kepler-341 b,1
Kepler-341 c,1
Kepler-341 d,1
Kepler-528 b,1
Kepler-341 e,1
Kepler-342 b,1
Kepler-527 b,1
Kepler-342 c,1
Kepler-342 d,1
Kepler-342 e,1
Kepler-343 b,1
Kepler-526 b,1
Kepler-525 b,1
Kepler-524 c,1
Kepler-343 c,1
Kepler-344 b,1
Kepler-344 c,1
Kepler-524 b,1
Kepler-523 b,1
Kepler-345 b,1
Kepler-345 c,1
Kepler-529 b,1
Kepler-53 b,1
Kepler-332 c,1
Kepler-53 c,1
Kepler-534 b,1
Kepler-533 b,1
Kepler-532 b,1
Kepler-332 d,1
Kepler-334 b,1
Kepler-531 b,1
Kepler-334 c,1
Kepler-334 d,1
Kepler-335 b,1
Kepler-335 c,1
Kepler-336 b,1
Kepler-336 c,1
Kepler-336 d,1
Kepler-337 b,1
Kepler-337 c,1
Kepler-338 b,1
Kepler-338 c,1
Kepler-338 d,1
Kepler-338 e,1
Kepler-339 b,1
Kepler-339 c,1
Kepler-53 d,1
Kepler-339 d,1
Kepler-365 b,1
Kepler-370 c,1
Kepler-365 c,1
Kepler-450 b,1
Kepler-400 b,1
Kepler-400 c,1
Kepler-401 b,1
Kepler-315 c,1
Kepler-401 d,1
Kepler-452 b,1
Kepler-450 d,1
Kepler-450 c,1
Kepler-402 b,1
Kepler-402 c,1
Kepler-402 d,1
Kepler-402 e,1
Kepler-46 b,1
Kepler-403 b,1
Kepler-403 c,1
Kepler-403 d,1
Kepler-404 b,1
Kepler-404 c,1
Kepler-405 b,1
Kepler-405 c,1
Kepler-45 b,1
Kepler-406 b,1
Kepler-449 c,1
Kepler-406 c,1
