Discovery Facility,Discovery Year,Planet Name
McDonald Observatory,2015,HD 95127 b
Multiple Facilities,2015,HD 95872 b
Multiple Observatories,2015,HIP 107773 b
Kepler,2015,Kepler-440 b
Multiple Observatories,2015,HIP 65891 b
Multiple Observatories,2015,HIP 67851 b
Multiple Observatories,2015,HIP 67851 c
Kepler,2015,Kepler-441 b
K2,2015,K2-10 b
Kepler,2015,Kepler-442 b
Kepler,2015,Kepler-431 d
Multiple Observatories,2015,HD 67087 b
Multiple Observatories,2015,HD 67087 c
Kepler,2015,Kepler-431 b
Haute-Provence Observatory,2015,HD 164595 b
Multiple Observatories,2015,HD 1666 b
La Silla Observatory,2015,HD 175607 b
K2,2015,WASP-47 e
K2,2015,WASP-47 d
La Silla Observatory,2015,WASP-47 c
La Silla Observatory,2015,WASP-41 c
La Silla Observatory,2015,HD 204313 c
McDonald Observatory,2015,HD 216536 b
Roque de los Muchachos Observatory,2015,HD 219134 b
Roque de los Muchachos Observatory,2015,HD 219134 c
Roque de los Muchachos Observatory,2015,HD 219134 d
Multiple Observatories,2015,HD 219134 f
Multiple Observatories,2015,HD 219134 g
Roque de los Muchachos Observatory,2015,HD 219134 h
Kepler,2015,Kepler-430 b
Kepler,2015,Kepler-430 c
SuperWASP,2015,WASP-20 b
Bohyunsan Optical Astronomical Observatory,2015,HD 24064 b
W. M. Keck Observatory,2015,HD 32963 b
Anglo-Australian Telescope,2015,HD 33844 b
Anglo-Australian Telescope,2015,HD 33844 c
K2,2015,K2-12 b
K2,2015,K2-11 b
K2,2015,K2-13 b
KELT,2015,KELT-7 b
Multiple Facilities,2015,Kepler-454 c
Kepler,2015,Kepler-449 b
Kepler,2015,Kepler-449 c
K2,2015,K2-5 b
K2,2015,K2-5 c
Kepler,2015,Kepler-450 b
Kepler,2015,Kepler-450 c
Kepler,2015,Kepler-450 d
Kepler,2015,Kepler-452 b
Kepler,2015,Kepler-453 b
K2,2015,K2-6 b
Kepler,2015,Kepler-454 b
K2,2015,K2-7 b
Multiple Observatories,2015,HD 1605 b
Kepler,2015,KOI-12 b
Kepler,2015,KIC 9663113 b
Kepler,2015,KIC 8540376 c
Kepler,2015,KIC 8540376 b
Kepler,2015,KIC 5951458 b
K2,2015,K2-8 b
Kepler,2015,KIC 5437945 b
Kepler,2015,KIC 3558849 b
K2,2015,K2-9 b
Kepler,2015,KIC 10525077 b
KELT,2015,KELT-8 b
K2,2015,K2-4 b
Kepler,2015,Kepler-447 b
K2,2015,K2-14 b
Kepler,2015,Kepler-444 b
K2,2015,K2-15 b
K2,2015,K2-16 c
K2,2015,K2-17 b
K2,2015,K2-18 b
K2,2015,K2-19 b
K2,2015,K2-19 c
Kepler,2015,Kepler-443 b
K2,2015,K2-21 b
K2,2015,K2-21 c
K2,2015,K2-22 b
K2,2015,K2-25 b
K2,2015,K2-3 b
Kepler,2015,Kepler-446 d
K2,2015,K2-3 c
K2,2015,K2-3 d
Kepler,2015,Kepler-444 c
Kepler,2015,Kepler-444 d
Kepler,2015,Kepler-444 e
Kepler,2015,Kepler-444 f
Kepler,2015,Kepler-445 b
Kepler,2015,Kepler-445 c
Kepler,2015,Kepler-445 d
Kepler,2015,Kepler-446 b
Kepler,2015,Kepler-446 c
Multiple Observatories,2015,HD 1605 c
K2,2015,K2-16 b
HATNet,2015,HAT-P-50 b
Cerro Tololo Inter-American Observatory,2015,GJ 1132 b
W. M. Keck Observatory,2015,HD 145934 b
HATSouth,2015,HATS-6 b
HATSouth,2015,HATS-13 b
SuperWASP,2015,WASP-89 b
Bohyunsan Optical Astronomical Observatory,2015,8 UMi b
McDonald Observatory,2015,psi 1 Dra B b
Gemini Observatory,2015,51 Eri b
Kepler,2015,2MASS J19383260+4603591 b
La Silla Observatory,2015,GJ 3293 b
La Silla Observatory,2015,GJ 3293 c
La Silla Observatory,2015,GJ 3341 b
OGLE,2015,OGLE-2012-BLG-0563L b
OGLE,2015,OGLE-2011-BLG-0265L b
Bohyunsan Optical Astronomical Observatory,2015,HD 12648 b
HATSouth,2015,HATS-9 b
Paranal Observatory,2015,VHS J125601.92-125723.9 b
SuperWASP,2015,WASP-83 b
HATSouth,2015,HATS-10 b
SuperWASP,2015,WASP-82 b
HATSouth,2015,HATS-14 b
Multiple Observatories,2015,alf Tau b
La Silla Observatory,2015,HD 1461 c
McDonald Observatory,2015,BD+49 828 b
HATNet,2015,HAT-P-57 b
La Silla Observatory,2015,Wolf 1061 d
CoRoT,2015,CoRoT-29 b
HATNet,2015,HAT-P-52 b
Anglo-Australian Telescope,2015,HD 155233 b
MOA,2015,MOA-2010-BLG-353L b
Large Binocular Telescope Observatory,2015,LkCa 15 c
Kepler,2015,Kepler-92 d
SuperWASP,2015,WASP-74 b
CoRoT,2015,CoRoT-28 b
HATNet,2015,HAT-P-53 b
OGLE,2015,OGLE-2014-BLG-0124L b
HATNet,2015,HAT-P-54 b
Bohyunsan Optical Astronomical Observatory,2015,HD 11755 b
Large Binocular Telescope Observatory,2015,LkCa 15 b
HATSouth,2015,HATS-8 b
HATNet,2015,HAT-P-55 b
HATNet,2015,HAT-P-56 b
HATSouth,2015,HATS-7 b
La Silla Observatory,2015,Wolf 1061 c
La Silla Observatory,2015,Wolf 1061 b
HATNet,2015,HAT-P-51 b
Cerro Tololo Inter-American Observatory,2015,2MASS J02192210-3925225 b
Kepler,2014,Kepler-150 e
Kepler,2014,Kepler-150 d
Kepler,2014,Kepler-150 c
Kepler,2014,Kepler-46 d
Kepler,2014,Kepler-101 b
Multiple Observatories,2014,GJ 682 c
Kepler,2014,Kepler-150 b
Kepler,2014,Kepler-119 b
Multiple Observatories,2014,GJ 229 b
Multiple Observatories,2014,GJ 682 b
Multiple Observatories,2014,GJ 27.1 b
Kepler,2014,Kepler-158 b
W. M. Keck Observatory,2014,GJ 15 A b
Multiple Observatories,2014,GJ 160.2 b
Multiple Observatories,2014,GJ 180 b
Multiple Observatories,2014,GJ 180 c
Kepler,2014,Kepler-103 b
Kepler,2014,Kepler-101 c
Kepler,2014,Kepler-134 b
Kepler,2014,Kepler-132 d
Multiple Observatories,2014,GJ 422 b
Multiple Observatories,2014,GJ 433 c
Bohyunsan Optical Astronomical Observatory,2014,bet UMi b
Kepler,2014,Kepler-132 c
Bohyunsan Optical Astronomical Observatory,2014,bet Cnc b
Kepler,2014,Kepler-119 c
Lick Observatory,2014,GJ 687 b
Kepler,2014,Kepler-100 d
HATNet,2014,HAT-P-49 b
Kepler,2014,Kepler-152 b
Kepler,2014,Kepler-152 c
Kepler,2014,Kepler-149 d
Kepler,2014,Kepler-149 c
Kepler,2014,Kepler-149 b
Kepler,2014,Kepler-117 c
Kepler,2014,Kepler-52 d
Kepler,2014,Kepler-117 b
HATNet,2014,HAT-P-46 b
Kepler,2014,Kepler-120 b
W. M. Keck Observatory,2014,HAT-P-44 c
Kepler,2014,Kepler-120 c
Kepler,2014,Kepler-169 f
Kepler,2014,Kepler-169 e
Kepler,2014,Kepler-169 d
Kepler,2014,Kepler-169 c
Kepler,2014,Kepler-169 b
Kepler,2014,Kepler-148 c
Kepler,2014,Kepler-148 b
Kepler,2014,Kepler-53 d
HATNet,2014,HAT-P-45 b
Kepler,2014,Kepler-51 d
Kepler,2014,Kepler-100 c
Kepler,2014,Kepler-103 c
Kepler,2014,Kepler-100 b
Multiple Observatories,2014,Kapteyn c
Kepler,2014,Kepler-48 d
W. M. Keck Observatory,2014,Kepler-48 e
Kepler,2014,Kepler-49 d
Kepler,2014,Kepler-49 e
Kepler,2014,KOI-1257 b
Multiple Observatories,2014,GJ 832 c
W. M. Keck Observatory,2014,GJ 849 c
Gemini Observatory,2014,GU Psc b
HATNet,2014,HAT-P-44 b
SuperWASP,2014,WASP-100 b
SuperWASP,2014,WASP-101 b
Kepler,2014,KIC 10001893 d
Kepler,2014,KIC 10001893 c
Kepler,2014,KIC 10001893 b
SuperWASP,2014,WASP-103 b
SuperWASP,2014,WASP-104 b
Kepler,2014,Kepler-134 c
KELT,2014,KELT-6 b
Kepler,2014,Kepler-158 c
SuperWASP,2014,WASP-69 b
Kepler,2014,Kepler-159 c
Kepler,2014,Kepler-402 d
Kepler,2014,Kepler-392 b
Kepler,2014,Kepler-392 c
Kepler,2014,Kepler-393 b
Kepler,2014,Kepler-393 c
Kepler,2014,Kepler-394 b
Kepler,2014,Kepler-394 c
Kepler,2014,Kepler-395 b
Kepler,2014,Kepler-395 c
Kepler,2014,Kepler-397 b
Kepler,2014,Kepler-397 c
Kepler,2014,Kepler-398 b
Kepler,2014,Kepler-398 c
Kepler,2014,Kepler-399 b
Kepler,2014,Kepler-399 c
Kepler,2014,Kepler-399 d
Kepler,2014,Kepler-400 b
Kepler,2014,Kepler-400 c
Kepler,2014,Kepler-401 b
Kepler,2014,Kepler-401 c
Kepler,2014,Kepler-133 b
Kepler,2014,Kepler-402 b
Kepler,2014,Kepler-391 c
Kepler,2014,Kepler-391 b
Kepler,2014,Kepler-390 c
Kepler,2014,Kepler-385 b
Kepler,2014,Kepler-380 c
Kepler,2014,Kepler-381 b
Kepler,2014,Kepler-381 c
Kepler,2014,Kepler-382 b
Kepler,2014,Kepler-382 c
Kepler,2014,Kepler-383 b
Kepler,2014,Kepler-383 c
Kepler,2014,Kepler-384 b
Kepler,2014,Kepler-384 c
Kepler,2014,Kepler-385 c
Kepler,2014,Kepler-390 b
Kepler,2014,Kepler-171 b
Kepler,2014,Kepler-386 b
Kepler,2014,Kepler-386 c
Kepler,2014,Kepler-387 b
Kepler,2014,Kepler-387 c
Kepler,2014,Kepler-388 b
Kepler,2014,Kepler-388 c
Kepler,2014,Kepler-389 b
Kepler,2014,Kepler-389 c
Kepler,2014,Kepler-402 c
Kepler,2014,Kepler-402 e
Kepler,2014,Kepler-159 b
Kepler,2014,Kepler-403 b
Kepler,2014,Kepler-418 b
Kepler,2014,Kepler-419 b
Kepler,2014,Kepler-419 c
Kepler,2014,Kepler-421 b
Kepler,2014,Kepler-422 b
Kepler,2014,Kepler-423 b
Kepler,2014,Kepler-424 b
McDonald Observatory,2014,Kepler-424 c
Kepler,2014,Kepler-425 b
Kepler,2014,Kepler-426 b
Kepler,2014,Kepler-427 b
Kepler,2014,Kepler-428 b
Kepler,2014,Kepler-133 c
Bohyunsan Optical Astronomical Observatory,2014,mu Leo b
Kepler,2014,Kepler-111 c
Kepler,2014,Kepler-111 b
La Silla Observatory,2014,BD-11 4672 b
CoRoT,2014,CoRoT-22 b
Kepler,2014,Kepler-170 b
CoRoT,2014,CoRoT-24 c
CoRoT,2014,CoRoT-27 b
Kepler,2014,Kepler-417 c
Kepler,2014,Kepler-417 b
Kepler,2014,Kepler-416 c
Kepler,2014,Kepler-408 b
Kepler,2014,Kepler-403 c
Kepler,2014,Kepler-404 b
Kepler,2014,Kepler-404 c
Kepler,2014,Kepler-405 b
Kepler,2014,Kepler-405 c
Kepler,2014,Kepler-406 b
Kepler,2014,Kepler-406 c
Kepler,2014,Kepler-407 b
W. M. Keck Observatory,2014,Kepler-407 c
Kepler,2014,Kepler-409 b
Kepler,2014,Kepler-416 b
Multiple Observatories,2014,TYC 1422-614-1 c
Multiple Observatories,2014,TYC 1422-614-1 b
Kepler,2014,Kepler-170 c
Kepler,2014,Kepler-412 b
Kepler,2014,Kepler-413 b
Kepler,2014,Kepler-414 b
Kepler,2014,Kepler-414 c
Kepler,2014,Kepler-415 b
Kepler,2014,Kepler-415 c
CoRoT,2014,CoRoT-24 b
Kepler,2014,Kepler-168 b
Kepler,2014,Kepler-104 b
W. M. Keck Observatory,2014,HD 75784 b
Kepler,2014,Kepler-108 c
Kepler,2014,Kepler-139 c
Kepler,2014,Kepler-139 b
SuperWASP,2014,WASP-94 A b
Kepler,2014,Kepler-163 c
Kepler,2014,Kepler-163 b
Kepler,2014,Kepler-136 b
W. M. Keck Observatory,2014,Kepler-97 c
Kepler,2014,Kepler-97 b
SuperWASP,2014,WASP-88 b
Kepler,2014,Kepler-113 c
Kepler,2014,Kepler-156 b
Kepler,2014,Kepler-156 c
Kepler,2014,Kepler-136 c
SuperWASP,2014,WASP-84 b
Kepler,2014,Kepler-138 d
La Silla Observatory,2014,HD 564 b
Kepler,2014,Kepler-138 c
W. M. Keck Observatory,2014,HD 5319 c
Kepler,2014,Kepler-138 b
Kepler,2014,Kepler-108 b
Kepler,2014,Kepler-98 b
SuperWASP,2014,WASP-94 B b
Kepler,2014,Kepler-127 d
Kepler,2014,Kepler-164 d
SuperWASP,2014,WASP-99 b
Kepler,2014,Kepler-99 b
SuperWASP,2014,WASP-98 b
Kepler,2014,Kepler-164 c
Kepler,2014,Kepler-164 b
Kepler,2014,Kepler-155 c
Anglo-Australian Telescope,2014,HD 114613 b
Kepler,2014,Kepler-140 c
Kepler,2014,Kepler-140 b
SuperWASP,2014,WASP-117 b
K2,2014,HIP 116454 b
SuperWASP,2014,WASP-97 b
Multiple Observatories,2014,HIP 105854 b
Kepler,2014,Kepler-114 b
SuperWASP,2014,WASP-96 b
SuperWASP,2014,WASP-95 b
Kepler,2014,Kepler-127 b
Kepler,2014,Kepler-127 c
Kepler,2014,Kepler-96 b
Kepler,2014,Kepler-162 c
Multiple Observatories,2014,HIP 97233 b
Kepler,2014,Kepler-84 e
W. M. Keck Observatory,2014,Kepler-93 c
SuperWASP,2014,WASP-28 b
Kepler,2014,Kepler-81 d
Kepler,2014,Kepler-137 c
Kepler,2014,Kepler-82 d
Kepler,2014,Kepler-82 e
Kepler,2014,Kepler-93 b
Kepler,2014,Kepler-83 d
Kepler,2014,Kepler-84 d
Kepler,2014,Kepler-84 f
W. M. Keck Observatory,2014,HD 4203 c
Kepler,2014,Kepler-161 c
Kepler,2014,Kepler-137 b
Kepler,2014,Kepler-85 d
Kepler,2014,Kepler-85 e
Kepler,2014,Kepler-157 c
SuperWASP,2014,WASP-73 b
Anglo-Australian Telescope,2014,HD 154857 c
Kepler,2014,Kepler-157 b
SuperWASP,2014,WASP-70 A b
Kepler,2014,Kepler-130 b
Kepler,2014,Kepler-80 e
Kepler,2014,Kepler-80 d
Kepler,2014,Kepler-94 b
Kepler,2014,Kepler-162 b
Kepler,2014,Kepler-161 b
Kepler,2014,Kepler-130 d
Kepler,2014,Kepler-130 c
Kepler,2014,Kepler-109 b
Kepler,2014,Kepler-129 b
La Silla Observatory,2014,HD 30669 b
Kepler,2014,Kepler-129 c
Kepler,2014,Kepler-95 b
Kepler,2014,Kepler-109 c
Okayama Astrophysical Observatory,2014,HD 14067 b
Kepler,2014,Kepler-113 b
Multiple Observatories,2014,HD 141399 b
Kepler,2014,Kepler-79 d
Kepler,2014,Kepler-79 e
Multiple Observatories,2014,HD 141399 c
Multiple Observatories,2014,HD 141399 d
Multiple Observatories,2014,HD 141399 e
W. M. Keck Observatory,2014,Kepler-94 c
Kepler,2014,Kepler-155 b
La Silla Observatory,2014,HD 108341 b
Kepler,2014,Kepler-104 c
Kepler,2014,Kepler-173 c
Kepler,2014,Kepler-116 c
Kepler,2014,Kepler-116 b
Kepler,2014,Kepler-105 c
Kepler,2014,Kepler-132 b
OGLE,2014,OGLE-2008-BLG-355L b
Kepler,2014,Kepler-167 c
OGLE,2014,OGLE-2008-BLG-092L b
SuperWASP,2014,WASP-106 b
Kepler,2014,Kepler-123 b
Kepler,2014,Kepler-167 b
Kepler,2014,Kepler-124 b
Kepler,2014,Kepler-112 b
Kepler,2014,Kepler-112 c
Kepler,2014,Kepler-154 b
Kepler,2014,Kepler-154 c
Kepler,2014,Kepler-160 b
Kepler,2014,Kepler-144 c
Kepler,2014,Kepler-58 d
Kepler,2014,Kepler-144 b
Kepler,2014,Kepler-106 b
Roque de los Muchachos Observatory,2014,XO-2 S c
OGLE,2014,OGLE-2013-BLG-0102L b
Kepler,2014,Kepler-146 b
Kepler,2014,Kepler-146 c
Kepler,2014,Kepler-104 d
Kepler,2014,Kepler-121 b
Kepler,2014,Kepler-121 c
Kepler,2014,Kepler-54 d
Kepler,2014,Kepler-147 c
Kepler,2014,Kepler-147 b
Kepler,2014,Kepler-168 c
SuperWASP,2014,WASP-68 b
OGLE,2014,OGLE-2013-BLG-0341L B b
Kepler,2014,Kepler-153 b
Kepler,2014,Kepler-153 c
Kepler,2014,Kepler-122 b
Kepler,2014,Kepler-55 d
Kepler,2014,Kepler-55 e
Kepler,2014,Kepler-55 f
Kepler,2014,Kepler-122 c
Kepler,2014,Kepler-122 d
Kepler,2014,Kepler-122 e
Kepler,2014,Kepler-122 f
Kepler,2014,Kepler-106 c
Kepler,2014,Kepler-124 c
Kepler,2014,Kepler-126 d
Paranal Observatory,2014,HD 100546 b
Multiple Observatories,2014,NGC 2682 YBP 1194 b
Multiple Observatories,2014,NGC 2682 Sand 364 b
HATSouth,2014,HATS-4 b
HATSouth,2014,HATS-5 b
Kepler,2014,Kepler-107 b
Kepler,2014,Kepler-107 c
Kepler,2014,Kepler-107 d
Kepler,2014,Kepler-107 e
MOA,2014,MOA-2013-BLG-220L b
MOA,2014,MOA-2011-BLG-262L b
Kepler,2014,Kepler-124 d
Roque de los Muchachos Observatory,2014,XO-2 S b
Kepler,2014,Kepler-379 c
La Silla Observatory,2014,HD 103720 b
W. M. Keck Observatory,2014,HD 10442 b
Kepler,2014,Kepler-141 c
Kepler,2014,Kepler-141 b
Kepler,2014,Kepler-126 b
United Kingdom Infrared Telescope,2014,WTS-2 b
Kepler,2014,Kepler-126 c
Multiple Observatories,2014,NGC 2682 YBP 1514 b
Kepler,2014,Kepler-131 b
Kepler,2014,Kepler-131 c
Kepler,2014,Kepler-142 b
Kepler,2014,Kepler-106 d
Kepler,2014,Kepler-166 c
Kepler,2014,Kepler-166 b
Kepler,2014,Kepler-106 e
Kepler,2014,Kepler-160 c
Kepler,2014,Kepler-143 c
Kepler,2014,Kepler-143 b
Kepler,2014,Kepler-135 b
Kepler,2014,Kepler-115 c
Kepler,2014,Kepler-115 b
Kepler,2014,Kepler-135 c
Kepler,2014,Kepler-110 c
Kepler,2014,Kepler-110 b
Kepler,2014,Kepler-125 b
Kepler,2014,Kepler-125 c
Kepler,2014,Kepler-165 c
Kepler,2014,Kepler-165 b
Kepler,2014,Kepler-142 d
Kepler,2014,Kepler-142 c
Kepler,2014,Kepler-380 b
Kepler,2014,Kepler-173 b
Kepler,2014,Kepler-123 c
Kepler,2014,Kepler-263 c
Kepler,2014,Kepler-265 c
Kepler,2014,Kepler-265 b
Kepler,2014,Kepler-264 c
Kepler,2014,Kepler-264 b
Kepler,2014,Kepler-194 d
Kepler,2014,Kepler-195 b
Kepler,2014,Kepler-195 c
Kepler,2014,Kepler-194 b
Kepler,2014,Kepler-196 b
Kepler,2014,Kepler-263 b
Kepler,2014,Kepler-262 c
Kepler,2014,Kepler-262 b
Kepler,2014,Kepler-196 c
Kepler,2014,Kepler-261 c
Kepler,2014,Kepler-194 c
Kepler,2014,Kepler-265 d
Kepler,2014,Kepler-197 c
Kepler,2014,Kepler-267 d
Kepler,2014,Kepler-192 b
Kepler,2014,Kepler-192 c
Kepler,2014,Kepler-269 c
Kepler,2014,Kepler-269 b
Kepler,2014,Kepler-268 c
Kepler,2014,Kepler-268 b
Kepler,2014,Kepler-172 b
Kepler,2014,Kepler-265 e
Kepler,2014,Kepler-193 b
Kepler,2014,Kepler-267 c
Kepler,2014,Kepler-193 c
Kepler,2014,Kepler-267 b
Kepler,2014,Kepler-266 c
Kepler,2014,Kepler-266 b
Kepler,2014,Kepler-197 b
Kepler,2014,Kepler-197 d
Kepler,2014,Kepler-188 c
Kepler,2014,Kepler-257 c
Kepler,2014,Kepler-202 b
Kepler,2014,Kepler-202 c
Kepler,2014,Kepler-258 b
Kepler,2014,Kepler-257 d
Kepler,2014,Kepler-203 b
Kepler,2014,Kepler-203 c
Kepler,2014,Kepler-257 b
Kepler,2014,Kepler-201 b
Kepler,2014,Kepler-256 e
Kepler,2014,Kepler-203 d
Kepler,2014,Kepler-256 d
Kepler,2014,Kepler-256 c
Kepler,2014,Kepler-204 b
Kepler,2014,Kepler-256 b
Kepler,2014,Kepler-201 c
Kepler,2014,Kepler-258 c
Kepler,2014,Kepler-197 e
Kepler,2014,Kepler-199 c
Kepler,2014,Kepler-198 b
Kepler,2014,Kepler-198 c
Kepler,2014,Kepler-118 b
Kepler,2014,Kepler-261 b
Kepler,2014,Kepler-260 c
Kepler,2014,Kepler-199 b
Kepler,2014,Kepler-260 b
Kepler,2014,Kepler-200 c
Kepler,2014,Kepler-26 e
Kepler,2014,Kepler-26 d
Kepler,2014,Kepler-151 c
Kepler,2014,Kepler-259 c
Kepler,2014,Kepler-259 b
Kepler,2014,Kepler-200 b
Kepler,2014,Kepler-172 c
Kepler,2014,Kepler-191 c
Kepler,2014,Kepler-270 b
Kepler,2014,Kepler-289 c
Kepler,2014,Kepler-291 b
Kepler,2014,Kepler-189 b
Kepler,2014,Kepler-290 c
Kepler,2014,Kepler-290 b
Kepler,2014,Kepler-189 c
Kepler,2014,Kepler-289 d
Kepler,2014,Kepler-289 b
Kepler,2014,Kepler-292 b
Kepler,2014,Kepler-288 d
Kepler,2014,Kepler-288 c
Kepler,2014,Kepler-288 b
Kepler,2014,Kepler-287 c
Kepler,2014,Kepler-287 b
Kepler,2014,Kepler-286 e
Kepler,2014,Kepler-291 c
Kepler,2014,Kepler-292 c
Kepler,2014,Kepler-270 c
Kepler,2014,Kepler-295 c
Kepler,2014,Kepler-296 f
Kepler,2014,Kepler-296 e
Kepler,2014,Kepler-296 d
Kepler,2014,Kepler-296 c
Kepler,2014,Kepler-296 b
Kepler,2014,Kepler-295 d
Kepler,2014,Kepler-295 b
Kepler,2014,Kepler-292 d
Kepler,2014,Kepler-294 c
Kepler,2014,Kepler-294 b
Kepler,2014,Kepler-293 c
Kepler,2014,Kepler-293 b
Kepler,2014,Kepler-292 f
Kepler,2014,Kepler-292 e
Kepler,2014,Kepler-286 d
Kepler,2014,Kepler-286 c
Kepler,2014,Kepler-286 b
Kepler,2014,Kepler-273 c
Kepler,2014,Kepler-276 b
Kepler,2014,Kepler-275 d
Kepler,2014,Kepler-275 c
Kepler,2014,Kepler-275 b
Kepler,2014,Kepler-274 c
Kepler,2014,Kepler-274 b
Kepler,2014,Kepler-273 b
Kepler,2014,Kepler-285 c
Kepler,2014,Kepler-272 d
Kepler,2014,Kepler-272 c
Kepler,2014,Kepler-272 b
Kepler,2014,Kepler-102 c
Kepler,2014,Kepler-271 c
Kepler,2014,Kepler-271 b
Kepler,2014,Kepler-278 b
Kepler,2014,Kepler-278 c
Kepler,2014,Kepler-279 b
Kepler,2014,Kepler-191 b
Kepler,2014,Kepler-190 c
Kepler,2014,Kepler-280 b
Kepler,2014,Kepler-280 c
Kepler,2014,Kepler-281 c
Kepler,2014,Kepler-282 b
Kepler,2014,Kepler-282 c
Kepler,2014,Kepler-190 b
Kepler,2014,Kepler-172 d
Kepler,2014,Kepler-283 b
Kepler,2014,Kepler-283 c
Kepler,2014,Kepler-284 b
Kepler,2014,Kepler-284 c
Kepler,2014,Kepler-285 b
Kepler,2014,Kepler-102 d
Kepler,2014,Kepler-255 c
Kepler,2014,Kepler-255 b
Kepler,2014,Kepler-223 e
Kepler,2014,Kepler-240 c
Kepler,2014,Kepler-223 b
Kepler,2014,Kepler-240 b
Kepler,2014,Kepler-223 c
Kepler,2014,Kepler-223 d
Kepler,2014,Kepler-24 e
Kepler,2014,Kepler-24 d
Kepler,2014,Kepler-222 c
Kepler,2014,Kepler-224 b
Kepler,2014,Kepler-224 c
Kepler,2014,Kepler-224 d
Kepler,2014,Kepler-224 e
Kepler,2014,Kepler-225 b
Kepler,2014,Kepler-225 c
Kepler,2014,Kepler-222 d
Kepler,2014,Kepler-222 b
Kepler,2014,Kepler-244 d
Kepler,2014,Kepler-221 b
Kepler,2014,Kepler-220 c
Kepler,2014,Kepler-244 c
Kepler,2014,Kepler-244 b
Kepler,2014,Kepler-243 c
Kepler,2014,Kepler-220 d
Kepler,2014,Kepler-220 e
Kepler,2014,Kepler-243 b
Kepler,2014,Kepler-221 e
Kepler,2014,Kepler-242 c
Kepler,2014,Kepler-242 b
Kepler,2014,Kepler-241 c
Kepler,2014,Kepler-241 b
Kepler,2014,Kepler-221 c
Kepler,2014,Kepler-221 d
Kepler,2014,Kepler-226 b
Kepler,2014,Kepler-226 c
Kepler,2014,Kepler-226 d
Kepler,2014,Kepler-236 c
Kepler,2014,Kepler-232 c
Kepler,2014,Kepler-238 b
Kepler,2014,Kepler-233 b
Kepler,2014,Kepler-233 c
Kepler,2014,Kepler-237 c
Kepler,2014,Kepler-237 b
Kepler,2014,Kepler-234 b
Kepler,2014,Kepler-227 b
Kepler,2014,Kepler-236 b
Kepler,2014,Kepler-235 e
Kepler,2014,Kepler-234 c
Kepler,2014,Kepler-235 b
Kepler,2014,Kepler-235 c
Kepler,2014,Kepler-235 d
Kepler,2014,Kepler-232 b
Kepler,2014,Kepler-238 c
Kepler,2014,Kepler-238 d
Kepler,2014,Kepler-231 c
Kepler,2014,Kepler-231 b
Kepler,2014,Kepler-230 c
Kepler,2014,Kepler-230 b
Kepler,2014,Kepler-23 d
Kepler,2014,Kepler-239 b
Kepler,2014,Kepler-229 d
Kepler,2014,Kepler-229 c
Kepler,2014,Kepler-239 c
Kepler,2014,Kepler-229 b
Kepler,2014,Kepler-228 d
Kepler,2014,Kepler-228 c
Kepler,2014,Kepler-228 b
Kepler,2014,Kepler-227 c
Kepler,2014,Kepler-379 b
Kepler,2014,Kepler-220 b
Kepler,2014,Kepler-204 c
Kepler,2014,Kepler-250 d
Kepler,2014,Kepler-251 e
Kepler,2014,Kepler-208 d
Kepler,2014,Kepler-251 d
Kepler,2014,Kepler-251 c
Kepler,2014,Kepler-251 b
Kepler,2014,Kepler-208 e
Kepler,2014,Kepler-250 c
Kepler,2014,Kepler-252 b
Kepler,2014,Kepler-209 b
Kepler,2014,Kepler-209 c
Kepler,2014,Kepler-210 b
Kepler,2014,Kepler-210 c
Kepler,2014,Kepler-211 b
Kepler,2014,Kepler-211 c
Kepler,2014,Kepler-208 c
Kepler,2014,Kepler-208 b
Kepler,2014,Kepler-219 d
Kepler,2014,Kepler-206 c
Kepler,2014,Kepler-205 b
Kepler,2014,Kepler-205 c
Kepler,2014,Kepler-254 d
Kepler,2014,Kepler-206 b
Kepler,2014,Kepler-254 c
Kepler,2014,Kepler-254 b
Kepler,2014,Kepler-253 d
Kepler,2014,Kepler-207 d
Kepler,2014,Kepler-253 c
Kepler,2014,Kepler-253 b
Kepler,2014,Kepler-252 c
Kepler,2014,Kepler-206 d
Kepler,2014,Kepler-207 b
Kepler,2014,Kepler-207 c
Kepler,2014,Kepler-212 b
Kepler,2014,Kepler-250 b
W. M. Keck Observatory,2014,Kepler-25 d
Kepler,2014,Kepler-218 c
Kepler,2014,Kepler-217 b
Kepler,2014,Kepler-217 c
Kepler,2014,Kepler-151 b
Kepler,2014,Kepler-218 b
Kepler,2014,Kepler-247 b
Kepler,2014,Kepler-246 c
Kepler,2014,Kepler-246 b
Kepler,2014,Kepler-212 c
Kepler,2014,Kepler-102 f
Kepler,2014,Kepler-219 b
Kepler,2014,Kepler-219 c
Kepler,2014,Kepler-245 d
Kepler,2014,Kepler-245 c
Kepler,2014,Kepler-245 b
Kepler,2014,Kepler-247 c
Kepler,2014,Kepler-216 c
Kepler,2014,Kepler-216 b
Kepler,2014,Kepler-247 d
Kepler,2014,Kepler-215 e
Kepler,2014,Kepler-248 b
Kepler,2014,Kepler-248 c
Kepler,2014,Kepler-249 b
Kepler,2014,Kepler-215 d
Kepler,2014,Kepler-249 c
Kepler,2014,Kepler-215 c
Kepler,2014,Kepler-215 b
Kepler,2014,Kepler-249 d
Kepler,2014,Kepler-214 c
Kepler,2014,Kepler-214 b
