Planet Name,Num Stars,Num Planets,Orbital Period Days
HD 23596 b,2,1,1561.0
HIP 8541 b,2,1,1560.2
HD 211810 b,1,1,1558.0
HD 203473 b,1,1,1552.9
HD 132563 b,3,1,1544.0
HD 171238 b,1,1,1532.0
HD 106252 b,1,1,1531.0
HIP 114933 b,1,1,1481.6
HD 86264 b,1,1,1475.0
Kepler-93 c,1,2,1460.0
HD 14067 b,1,1,1455.0
HATS-59 c,1,2,1422.0
Kepler-88 d,1,3,1403.0
HD 196050 b,3,1,1378.0
HD 29021 b,1,1,1362.3
HD 47186 c,1,2,1353.6
HD 216437 b,1,1,1334.28
HD 196885 A b,2,1,1333.0
KIC 3558849 b,1,1,1322.3
KIC 5951458 b,2,1,1320.1
HD 217786 b,2,1,1319.0
HD 8535 b,2,1,1313.0
HD 216435 b,1,1,1311.0
HD 142245 b,3,1,1299.0
HD 50554 b,1,1,1293.0
HD 134060 c,1,2,1291.5646
HD 175167 b,1,1,1290.0
kap CrB b,1,1,1285.0
HD 99706 c,1,2,1278.0
ups And d,2,3,1276.46
KELT-6 c,1,2,1276.0
HD 163607 c,1,2,1272.0
HD 86950 b,1,1,1270.0
HD 202206 c,2,1,1260.0
HD 7449 b,2,1,1255.5
HD 73267 b,1,1,1245.36
HD 126614 b,3,1,1244.0
OGLE-2016-BLG-1190L b,1,1,1224.0
HD 23127 b,1,1,1211.17
HD 3765 b,1,1,1211.0
HD 164922 b,1,4,1207.0
bet Pic c,1,2,1200.0
BD+63 1405 b,1,1,1198.48
HD 224538 b,1,1,1189.1
HD 159868 b,1,2,1184.1
HD 9174 b,1,1,1179.0
HD 190647 b,1,1,1176.45
HD 221585 b,1,1,1173.0
V0391 Peg b,1,1,1170.0
HD 30562 b,1,1,1157.0
HD 207832 c,3,2,1155.7
HD 170469 b,2,1,1145.0
HD 111232 b,1,1,1143.0
HD 108341 b,2,1,1129.0
HD 139357 b,1,1,1125.7
HD 102329 c,1,2,1123.0
HD 114729 b,2,1,1121.79
HD 2039 b,1,1,1120.0
HD 28254 b,2,1,1116.0
HIP 41378 d,1,5,1114.0
Kepler-1647 b,2,1,1107.5923
HD 68402 b,1,1,1103.0
WASP-107 c,1,2,1088.0
HIP 65891 b,1,1,1084.5
HIP 41378 f,1,5,1084.0
47 UMa b,1,3,1078.0
HD 10697 b,1,1,1075.69
Kepler-167 e,2,4,1071.23228
HD 141399 d,1,4,1069.8
HIP 97233 b,1,1,1058.8
GJ 676 A b,2,4,1056.80005
HD 111591 b,1,1,1056.4
HD 34445 b,1,6,1049.0
Kepler-1654 b,1,1,1047.8356
HD 81817 b,1,1,1047.1
HD 143361 b,1,1,1039.15
HD 197037 b,2,1,1035.7
HD 10442 b,1,1,1032.3
HD 148156 b,1,1,1027.0
HD 187085 b,1,1,1019.74
HD 147018 c,1,2,1008.0
Kepler-56 d,1,3,1002.0
HD 81040 b,1,1,1001.70001
Kepler-539 c,1,2,1000.0
7 CMa c,1,2,996.0
