Planet Name,Planet Host,Num Planets,Orbital Period Days,Equilibrium Temperature,Distance,Mass
OGLE-2017-BLG-1375L b,OGLE-2017-BLG-1375L,1,,,3930.0,3585.0
VHS J125601.92-125723.9 b,VHS J125601.92-125723.9,1,,,,3559.696
HIP 67537 b,HIP 67537,1,2556.5,,116.046,3527.913
HD 110014 b,HD 110014,1,835.477,,100.758,3524.59
MOA-2010-BLG-073L b,MOA-2010-BLG-073L,1,,,2800.0,3500.0
HD 203030 b,HD 203030,1,,1040.0,39.2503,3496.11248
DH Tau b,DH Tau,1,,,134.846,3496.0
HD 106906 b,HD 106906,1,,1800.0,103.029,3496.0
HD 13189 b,HD 13189,1,471.60001,,497.823,3480.2385
TYC 4282-00605-1 b,TYC 4282-00605-1,1,101.54,,464.128,3426.2074
HD 114762 b,HD 114762,1,83.9151,,40.1949,3397.6027
HD 156846 b,HD 156846,1,359.51001,,47.7332,3391.2461
HD 95127 b,HD 95127,1,482.0,,676.579,3378.5329
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,10037.5,370.0,,3337.1
WASP-18 b,WASP-18,2,0.94124,,123.483,3314.82
HD 219077 b,HD 219077,1,5501.0,,29.1864,3302.11
CoRoT-27 b,CoRoT-27,1,3.57532,1500.0,1010.28,3302.11
18 Del b,18 Del,1,993.3,,76.222,3273.5
HD 106270 b,HD 106270,1,1888.0,,93.808,3219.6179
HD 17092 b,HD 17092,1,359.89999,,228.422,3219.6179
Kepler-75 b,Kepler-75,1,8.8849116,767.0,835.356,3209.9
HD 39091 b,HD 39091,2,2093.07,,18.2702,3184.6566
HR 8799 e,HR 8799,4,,1150.0,41.2441,3178.3
TYC 1422-614-1 c,TYC 1422-614-1,2,559.3,,672.41,3178.0
HD 208527 b,HD 208527,1,875.5,,312.202,3146.4
HD 156279 b,HD 156279,2,131.05,,36.1945,3140.1604
HD 162020 b,HD 162020,1,8.4282,,30.8248,3127.4472
Kepler-94 c,Kepler-94,2,820.3,,191.904,3126.0
BD-13 2130 b,BD-13 2130,1,714.29999,,925.214,3108.3774
HD 139357 b,HD 139357,1,1125.7,,112.09,3101.89
HATS-41 b,HATS-41,1,4.193649,1710.0,737.668,3082.951
SWEEPS-11 b,SWEEPS-11,1,1.796,,,3082.82
HD 38801 b,HD 38801,1,685.25,,91.4349,3082.31534
